location_code,damage_code,collision_code,road_code,light_code,road_type_code,traffic_code,weather_code,emp_liability_code,kpi_cause_code
RAD,NSM,SSW,DRY,DAY,MULTI,HEAVY,FINE,4,EMP
RAD,NSF,SSW,DRY,DAY,SINGLE,HEAVY,FINE,1,EMP
RAD,NSF,SSW,DRY,DAY,MULTI,HEAVY,FINE,1,EMP
TIN,FRNT,N2T,DRY,DAY,SINGLE,LIGHT,FINE,1,EMP
BSP,NSF,SSW,DRY,DAY,SINGLE,LIGHT,FINE,4,EMP
RAD,WIN,SSW,DRY,DAY,SINGLE,NO,FINE,4,CARS TRUCKS
RAD,OSF,N2T,DRY,DAY,SINGLE,LIGHT,FINE,4,EMP
DEPOT,OSR,SSW,DRY,NIGHT,SINGLE,NO,FINE,4,CARS TRUCKS
BSP,OSF,HON,DRY,DAY,SINGLE,LIGHT,FINE,4,CARS TRUCKS
BSP,TOPF,HON,DRY,DAY,SINGLE,LIGHT,FINE,4,CARS TRUCKS
RAD,NSF,SSW,DRY,DAY,MULTI,HEAVY,FINE,4,ROA
RAD,OSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,1,ROA
RAD,OSM,SSW,DRY,DAY,SINGLE,LIGHT,FINE,1,EMP
RAD,OSM,SSW,DRY,DAY,SINGLE,NO,FINE,4,EMP
RAD,OSF,N2T,DRY,DAY,SINGLE,NO,FINE,5,ROA
RAD,OSF,SSW,DRY,DAY,SINGLE,LIGHT,FINE,1,ROA
RBT,NSR,SSW,DRY,DAY,SINGLE,MODERATE,FINE,4,EMP
RAD,FRNT,HON,DRY,DAY,MULTI,HEAVY,FINE,1,ROA
BSP,NSM,SSW,DRY,DAY,SINGLE,LIGHT,FINE,4,EMP
RBT,OSF,HON,DRY,DAY,SINGLE,LIGHT,FINE,4,EMP
RAD,REAR,REVERSING,DRY,DAY,SINGLE,LIGHT,FINE,4,EMP
BSP,OSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,4,EMP
RAD,NSR,REVERSING,DRY,DAY,SINGLE,HEAVY,FINE,4,EMP
RAD,OSF,N2T,WET,DUSK,MULTI,HEAVY,RAIN,1,EMP
RAD,NSF,TBO,DRY,DAY,SINGLE,LIGHT,FINE,1,EMP
RBT,OSM,SSW,DRY,DAY,SINGLE,LIGHT,FINE,5,EMP
BSP,OSF,SSW,DRY,DAWN,SINGLE,LIGHT,FINE,4,EMP
RAD,OSM,SSW,DRY,DAY,SINGLE,MODERATE,FINE,4,EMP
RAD,MIR,HON,DRY,DAY,MULTI,LIGHT,FINE,4,EMP
RAD,OSM,SSW,DRY,DAY,SINGLE,NO,FINE,5,EMP
RAD,NSR,SSW,DRY,DAY,SINGLE,HEAVY,FINE,4,EMP
TIN,NSR,N2T,DRY,DAY,SINGLE,HEAVY,FINE,4,EMP
XRD,NSM,SSW,DRY,NIGHT,MULTI,HEAVY,FINE,4,EMP
RAD,NSR,TAI,DRY,DAY,SINGLE,NO,FINE,4,EMP
DEPOT,NSR,SSW,DRY,DAY,SINGLE,LIGHT,FINE,4,EMP
RAD,REAR,REVERSING,DRY,DUSK,SINGLE,NO,FINE,4,EMP
RAD,NSM,BTMO,DRY,DAY,SINGLE,NO,FINE,4,EMP
RAD,WIN,BTMO,DRY,DAY,SINGLE,LIGHT,FINE,4,EMP
RBT,OSR,SSW,DRY,DAY,MULTI,LIGHT,FINE,1,EMP
BSP,FRNT,SSW,DRY,DAY,MULTI,LIGHT,FINE,1,CARS TRUCKS
RAD,NSF,SSW,DRY,DAY,MULTI,LIGHT,FINE,4,EMP
DEPOT,NSM,SSW,DRY,DAY,SINGLE,LIGHT,FINE,6,OTH
BSP,NSR,SSW,DRY,DAY,SINGLE,MODERATE,FINE,4,EMP
RAD,REAR,N2T,DRY,DAY,MULTI,LIGHT,FINE,5,OTH
RAD,FRNT,SSW,DRY,DAY,MULTI,MODERATE,FINE,4,EMP
RAD,NSF,N2T,DRY,DAY,MULTI,MODERATE,FINE,4,EMP
BSP,NSF,HON,DRY,DAY,BUS,NO,FINE,4,NONPOW
XRD,OSM,TBO,DRY,DAY,MULTI,MODERATE,FOG,1,ROA
XRD,WSRE,SSW,DRY,DAWN,MULTI,LIGHT,FINE,4,EMP
RAD,NSF,SSW,DRY,DAY,MULTI,HEAVY,FINE,4,BUS - OTHER
